timestamp,device_id,voltage,min_val,max_val,level,decibel,status
1776780276,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780278,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780280,pico_1,0.004,2096,2176,80,-58.27,OK
1776780282,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780284,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780286,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780288,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780290,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780293,pico_1,0.004,2112,2192,80,-58.27,OK
1776780295,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780297,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780299,pico_1,0.004,2096,2176,80,-58.27,OK
1776780301,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780303,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780305,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780307,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780309,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780312,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780314,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780316,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780318,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780320,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780322,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780324,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780326,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780328,pico_1,0.0064,2048,2176,128,-54.19,VARNING
1776780331,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780333,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780335,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780337,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780339,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780341,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780343,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780345,pico_1,0.0024,2112,2160,48,-62.7,OK
1776780347,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780350,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780352,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780354,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780356,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780358,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780360,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780362,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780364,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780366,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780369,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780371,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780373,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780375,pico_1,0.004,2112,2192,80,-58.27,OK
1776780377,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780379,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780381,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780383,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780385,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780388,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780390,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780392,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780394,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780396,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780398,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780400,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780402,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780404,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780407,pico_1,0.004,2096,2176,80,-58.27,OK
1776780409,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780411,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780413,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780415,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780417,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780419,pico_1,0.0032,2112,2176,64,-60.21,OK
